scenario,source_image,construction_radius,evaluation_radius,noise_seed,initial_per_band_noise_level,dc_excluded,recovery_threshold,low_band_threshold_progress,high_band_threshold_progress
low_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,0,0.05000000,true,0.80000000,0.41000000,0.77000000
high_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,0,0.05000000,true,0.80000000,0.81000000,0.79000000
together,assets/default_fft_reference.png,40.00000000,20.00000000,0,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,0,0.05000000,true,0.80000000,0.41000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,0,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,40.00000000,0,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,0,0.05000000,true,0.80000000,0.42000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,0,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,80.00000000,0,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,1,0.05000000,true,0.80000000,0.41000000,0.77000000
high_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,1,0.05000000,true,0.80000000,0.81000000,0.79000000
together,assets/default_fft_reference.png,40.00000000,20.00000000,1,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,1,0.05000000,true,0.80000000,0.41000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,1,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,40.00000000,1,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,1,0.05000000,true,0.80000000,0.42000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,1,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,80.00000000,1,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,2,0.05000000,true,0.80000000,0.41000000,0.77000000
high_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,2,0.05000000,true,0.80000000,0.81000000,0.79000000
together,assets/default_fft_reference.png,40.00000000,20.00000000,2,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,2,0.05000000,true,0.80000000,0.41000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,2,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,40.00000000,2,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,2,0.05000000,true,0.80000000,0.42000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,2,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,80.00000000,2,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,3,0.05000000,true,0.80000000,0.41000000,0.77000000
high_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,3,0.05000000,true,0.80000000,0.81000000,0.79000000
together,assets/default_fft_reference.png,40.00000000,20.00000000,3,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,3,0.05000000,true,0.80000000,0.41000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,3,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,40.00000000,3,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,3,0.05000000,true,0.80000000,0.42000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,3,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,80.00000000,3,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,4,0.05000000,true,0.80000000,0.41000000,0.77000000
high_band_first,assets/default_fft_reference.png,40.00000000,20.00000000,4,0.05000000,true,0.80000000,0.81000000,0.79000000
together,assets/default_fft_reference.png,40.00000000,20.00000000,4,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,4,0.05000000,true,0.80000000,0.41000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,40.00000000,4,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,40.00000000,4,0.05000000,true,0.80000000,0.68000000,0.68000000
low_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,4,0.05000000,true,0.80000000,0.42000000,0.81000000
high_band_first,assets/default_fft_reference.png,40.00000000,80.00000000,4,0.05000000,true,0.80000000,0.81000000,0.41000000
together,assets/default_fft_reference.png,40.00000000,80.00000000,4,0.05000000,true,0.80000000,0.68000000,0.68000000
