experiment_id,dataset_name,dataset_split,dataset_index,image_id,class_id,class_name,dataset_version,source_integrity_id
E004,CIFAR-10,test,3,cifar10-test-00003,0,airplane,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,10,cifar10-test-00010,0,airplane,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,6,cifar10-test-00006,1,automobile,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,9,cifar10-test-00009,1,automobile,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,25,cifar10-test-00025,2,bird,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,35,cifar10-test-00035,2,bird,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,0,cifar10-test-00000,3,cat,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,8,cifar10-test-00008,3,cat,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,22,cifar10-test-00022,4,deer,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,26,cifar10-test-00026,4,deer,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,12,cifar10-test-00012,5,dog,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,16,cifar10-test-00016,5,dog,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,4,cifar10-test-00004,6,frog,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,5,cifar10-test-00005,6,frog,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,13,cifar10-test-00013,7,horse,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,17,cifar10-test-00017,7,horse,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,1,cifar10-test-00001,8,ship,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,2,cifar10-test-00002,8,ship,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,11,cifar10-test-00011,9,truck,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
E004,CIFAR-10,test,14,cifar10-test-00014,9,truck,torchvision=0.21.0;archive=cifar-10-python.tar.gz,sha256:test_batch:f53d8d457504f7cff4ea9e021afcf0e0ad8e24a91f3fc42091b8adef61157831
