scenario,source_image,frequency_radius,noise_seed,initial_per_band_noise_level,dc_excluded,progress,low_band_weight,high_band_weight,low_band_score,high_band_score,low_band_relative_error,high_band_relative_error
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00189094,1.00140053
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.01000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00185969,1.00137417
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.02000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00182870,1.00134807
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.03000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00179795,1.00132221
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.04000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00176745,1.00129661
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.05000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00173720,1.00127125
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.06000000,0.00118400,0.00000000,0.00000000,0.00000000,1.00052451,1.00124614
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.07000000,0.00467200,0.00000000,0.00298949,0.00000000,0.99701051,1.00122128
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.08000000,0.01036800,0.00000000,0.00870900,0.00000000,0.99129100,1.00119667
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.09000000,0.01817600,0.00000000,0.01653820,0.00000000,0.98346180,1.00117231
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.10000000,0.02800000,0.00000000,0.02638123,0.00000000,0.97361877,1.00114820
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.11000000,0.03974400,0.00000000,0.03814221,0.00000000,0.96185779,1.00112433
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.12000000,0.05331200,0.00000000,0.05172522,0.00000000,0.94827478,1.00110072
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.13000000,0.06860800,0.00000000,0.06703434,0.00000000,0.93296566,1.00107736
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.14000000,0.08553600,0.00000000,0.08397362,0.00000000,0.91602638,1.00105424
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.15000000,0.10400000,0.00000000,0.10244708,0.00000000,0.89755292,1.00103137
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.16000000,0.12390400,0.00000000,0.12235874,0.00000000,0.87764126,1.00100876
low_band_first,assets/default_fft_reference.png,40.00000000,0,0.05000000,true,0.17000000,0.14515200,0.00000000,0.14361258,0.00000000,0.85638742,1.00098639
