sigma_index,sigma,metric,estimate,ci95_low,ci95_high,training_examples,query_examples,shell_c,subset_sha256,seed,status
0,0.02,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
1,0.05,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
2,0.1,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
3,0.14,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
4,0.2,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
5,0.3,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
6,0.4,gaussian_shell_coverage,0.0,0.0,0.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
7,0.6,gaussian_shell_coverage,0.001375,0.0001250000059371814,0.0031250000465661287,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
8,0.8,gaussian_shell_coverage,0.035375000000000004,0.026875000447034836,0.044512500800192346,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
9,1.0,gaussian_shell_coverage,0.16525,0.14612500369548798,0.18463125005364417,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
10,1.5,gaussian_shell_coverage,0.714,0.6919937506318092,0.732453116774559,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
11,2.0,gaussian_shell_coverage,0.9416249999999999,0.9331250190734863,0.9497500061988831,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
12,3.0,gaussian_shell_coverage,0.994,0.9909999966621399,0.9965000152587891,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
13,4.0,gaussian_shell_coverage,0.9981249999999999,0.9965000152587891,0.9993749856948853,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
14,5.0,gaussian_shell_coverage,0.999125,0.9980000257492065,0.999875009059906,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
15,8.0,gaussian_shell_coverage,0.999125,0.9980000257492065,0.999875009059906,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
16,12.0,gaussian_shell_coverage,0.999125,0.9980000257492065,0.999875009059906,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
17,20.0,gaussian_shell_coverage,0.999125,0.9978749752044678,0.999875009059906,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
18,40.0,gaussian_shell_coverage,0.998875,0.9973093912005424,0.999875009059906,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
19,80.0,gaussian_shell_coverage,0.998625,0.996999979019165,0.999625027179718,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
