sigma_index,sigma,coverage_estimate,coverage_ci95_low,coverage_ci95_high,posterior_weight_estimate,posterior_weight_ci95_low,posterior_weight_ci95_high,coverage_ge_q_c,posterior_weight_ge_q_w,high_high_point_estimate,high_high_lower_bound
0,80.0,0.998625,0.997,0.999625,0.002893054356979995,0.0028617928862014956,0.002923561385914485,True,False,False,False
1,57.58598472124816,0.99875,0.99725,0.99975,0.004209611955633287,0.00414732270176557,0.0042745313859670776,True,False,False,False
2,40.78557379650796,0.99875,0.99725,0.99975,0.007048065248057426,0.006896475503784063,0.007198543147325672,True,False,False,False
3,28.374584604156844,0.999,0.99775,0.999875,0.014169504743870416,0.013734881983105046,0.014580089924474253,True,False,False,False
4,19.35245298032523,0.999125,0.997875,0.999875,0.035226391394989315,0.03373589897173081,0.0366739613832077,True,False,False,False
5,12.91008238075732,0.999125,0.998,0.999875,0.10598815211138402,0.1011944295480363,0.11102357442888772,True,False,False,False
6,8.400935309099816,0.999125,0.998,0.999875,0.33479590179500496,0.32219504394291204,0.34655411744367254,True,False,False,False
7,5.315194521796382,0.999125,0.998,0.999875,0.766485334394985,0.7510806489756324,0.7817857595110428,True,False,False,False
8,3.256821519765537,0.995625,0.993125,0.997625,0.9835084050487843,0.9794118524849839,0.9868805108300251,True,True,True,True
9,1.9233398370400518,0.926875,0.9168093749999999,0.936190625,0.9998120366971854,0.9994264465952571,0.9999897859191601,True,True,True,True
10,1.088170636545279,0.255,0.232559375,0.274815625,0.9999999999999974,0.9999999999999878,1.0,False,True,False,False
11,0.5853481231945422,0.000875,0.0,0.00225,1.0,1.0,1.0,False,True,False,False
12,0.29644228447915727,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
13,0.13951646873101678,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
14,0.05994731123547159,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
15,0.022934518372333384,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
16,0.0075280199627840785,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
17,0.002000000000000003,0.0,0.0,0.0,1.0,1.0,1.0,False,True,False,False
