sigma_index,sigma,metric,estimate,ci95_low,ci95_high,training_examples,query_examples,shell_c,subset_sha256,seed,status
0,0.02,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
1,0.05,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
2,0.1,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
3,0.14,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
4,0.2,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
5,0.3,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
6,0.4,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
7,0.6,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
8,0.8,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
9,1.0,maximum_posterior_weight,1.0,1.0,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
10,1.5,maximum_posterior_weight,0.9999999415747078,0.9999997615814209,1.0,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
11,2.0,maximum_posterior_weight,0.9996160485365495,0.9990517735481262,0.9999730825424195,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
12,3.0,maximum_posterior_weight,0.9914551190695171,0.9887273699045181,0.9936661720275879,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
13,4.0,maximum_posterior_weight,0.9357155252220708,0.9272241875529289,0.9436216175556182,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
14,5.0,maximum_posterior_weight,0.8143275296512178,0.7987697780132293,0.8294993877410889,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
15,8.0,maximum_posterior_weight,0.37554181923453245,0.36110789105296137,0.38846167996525766,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
16,12.0,maximum_posterior_weight,0.13004978729493244,0.12415193077176809,0.1360806416720152,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
17,20.0,maximum_posterior_weight,0.032370624255885626,0.031042685639113186,0.03367778481915593,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
18,40.0,maximum_posterior_weight,0.0072861847813518454,0.007126209838315844,0.007445214013569057,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
19,80.0,maximum_posterior_weight,0.0028930543569799963,0.0028617953590583055,0.0029235626221634447,1000,1000,5.0,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
