sigma_index,sigma,metric,estimate,ci95_low,ci95_high,monte_carlo_se,training_examples,query_examples,shell_c,subset_sha256,seed,status
0,0.02,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
1,0.05,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
2,0.1,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
3,0.14,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
4,0.2,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
5,0.3,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
6,0.4,gaussian_shell_coverage,0.0,0.0,0.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
7,0.6,gaussian_shell_coverage,0.001375,0.000125,0.003125,0.00032389923477173314,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
8,0.8,gaussian_shell_coverage,0.035375,0.026875,0.04451249999999999,0.001387926253701646,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
9,1,gaussian_shell_coverage,0.16525,0.146125,0.18463125,0.0019888079703322646,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
10,1.5,gaussian_shell_coverage,0.714,0.69199375,0.732453125,0.004225771273642587,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
11,2,gaussian_shell_coverage,0.941625,0.933125,0.94975,0.0009437293044088445,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
12,3,gaussian_shell_coverage,0.994,0.991,0.9965,0.0009063269671749665,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
13,4,gaussian_shell_coverage,0.998125,0.9965,0.999375,0.0003503824441133678,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
14,5,gaussian_shell_coverage,0.999125,0.998,0.999875,0.00022658174179374162,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
15,8,gaussian_shell_coverage,0.999125,0.998,0.999875,0.0002950484221760414,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
16,12,gaussian_shell_coverage,0.999125,0.998,0.999875,0.0002950484221760414,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
17,20,gaussian_shell_coverage,0.999125,0.997875,0.999875,0.0002950484221760414,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
18,40,gaussian_shell_coverage,0.998875,0.9973093749999999,0.999875,0.00044067723854475274,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
19,80,gaussian_shell_coverage,0.998625,0.997,0.999625,0.0004199277148680306,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
