sigma_index,sigma,metric,estimate,ci95_low,ci95_high,monte_carlo_se,training_examples,query_examples,shell_c,subset_sha256,seed,status
0,0.02,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
1,0.05,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
2,0.1,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
3,0.14,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
4,0.2,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
5,0.3,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
6,0.4,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
7,0.6,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
8,0.8,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
9,1,maximum_posterior_weight,1.0,1.0,1.0,0.0,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
10,1.5,maximum_posterior_weight,0.9999999415747078,0.9999997374603147,0.9999999995774481,4.415160781411609e-08,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
11,2,maximum_posterior_weight,0.9996160485365494,0.9990515484785834,0.9999729558879257,0.00014852044258916187,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
12,3,maximum_posterior_weight,0.9914551190695172,0.9887259138060286,0.9936644803361853,0.00029274511204322454,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
13,4,maximum_posterior_weight,0.9357155252220709,0.9272223744602094,0.9436191245688835,0.002231808162934855,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
14,5,maximum_posterior_weight,0.8143275296512175,0.7987674391639938,0.8294975855410774,0.0055631627474179565,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
15,8,maximum_posterior_weight,0.3755418192345326,0.3611079621477503,0.38846229971734086,0.0029231010314397007,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
16,12,maximum_posterior_weight,0.1300497872949329,0.12415205132281835,0.136080676901023,0.0009875246324140593,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
17,20,maximum_posterior_weight,0.03237062425588563,0.031042673290907666,0.03367779703905498,0.0002544584487782186,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
18,40,maximum_posterior_weight,0.007286184781351885,0.0071262031302626915,0.007445211036073922,3.5849623553111016e-05,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
19,80,maximum_posterior_weight,0.002893054356979995,0.0028617928862014956,0.002923561385914485,8.141580004017085e-06,1000,1000,5,39cdd611c46acdedfeb2a9eff47187276afd83750dfdbeedcad04066e127893a,0,ok
