sigma_index,sigma,metric,committed_estimate,fresh_estimate,absolute_difference,monte_carlo_se,committed_se_proxy,reproduction_tolerance,within_tolerance
0,0.02,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
1,0.05,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
2,0.1,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
3,0.14,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
4,0.2,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
5,0.3,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
6,0.4,gaussian_shell_coverage,0.0,0.0,0.0,0.0,0.0,0.01,True
7,0.6,gaussian_shell_coverage,0.001375,0.001375,0.0,0.00032389923477173314,0.0007653061328135069,0.01,True
8,0.8,gaussian_shell_coverage,0.035375000000000004,0.035375,6.938893903907228e-18,0.001387926253701646,0.004499362334989161,0.014125700207957856,True
9,1.0,gaussian_shell_coverage,0.16525,0.16525,0.0,0.0019888079703322646,0.009823022030141886,0.030066993041000786,True
10,1.5,gaussian_shell_coverage,0.714,0.714,0.0,0.004225771273642587,0.01032126687315046,0.03345850018329309,True
11,2.0,gaussian_shell_coverage,0.9416249999999999,0.941625,1.1102230246251565e-16,0.0009437293044088445,0.004241068144233859,0.013034398951862609,True
12,3.0,gaussian_shell_coverage,0.994,0.994,0.0,0.0009063269671749665,0.0014030659685329515,0.01,True
13,4.0,gaussian_shell_coverage,0.9981249999999999,0.998125,1.1102230246251565e-16,0.0003503824441133678,0.0007334108255347428,0.01,True
14,5.0,gaussian_shell_coverage,0.999125,0.999125,0.0,0.00022658174179374162,0.00047831206905598543,0.01,True
15,8.0,gaussian_shell_coverage,0.999125,0.999125,0.0,0.0002950484221760414,0.00047831206905598543,0.01,True
16,12.0,gaussian_shell_coverage,0.999125,0.999125,0.0,0.0002950484221760414,0.00047831206905598543,0.01,True
17,20.0,gaussian_shell_coverage,0.999125,0.999125,0.0,0.0002950484221760414,0.0005102127182240388,0.01,True
18,40.0,gaussian_shell_coverage,0.998875,0.998875,0.0,0.00044067723854475274,0.0006544943518784694,0.01,True
19,80.0,gaussian_shell_coverage,0.998625,0.998625,0.0,0.0004199277148680306,0.0006696551429982088,0.01,True
0,0.02,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
1,0.05,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
2,0.1,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
3,0.14,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
4,0.2,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
5,0.3,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
6,0.4,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
7,0.6,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
8,0.8,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
9,1.0,maximum_posterior_weight,1.0,1.0,0.0,0.0,0.0,0.01,True
10,1.5,maximum_posterior_weight,0.9999999415747078,0.9999999415747078,0.0,4.415160781411609e-08,6.082106609733737e-08,0.01,True
11,2.0,maximum_posterior_weight,0.9996160485365495,0.9996160485365494,1.1102230246251565e-16,0.00014852044258916187,0.00023502780466663593,0.01,True
12,3.0,maximum_posterior_weight,0.9914551190695171,0.9914551190695172,1.1102230246251565e-16,0.00029274511204322454,0.0012598985007830972,0.01,True
13,4.0,maximum_posterior_weight,0.9357155252220708,0.9357155252220709,1.1102230246251565e-16,0.002231808162934855,0.004183017857828913,0.014223482508708061,True
14,5.0,maximum_posterior_weight,0.8143275296512178,0.8143275296512175,3.3306690738754696e-16,0.0055631627474179565,0.00783918615506621,0.028837728307763183,True
15,8.0,maximum_posterior_weight,0.37554181923453245,0.3755418192345326,1.6653345369377348e-16,0.0029231010314397007,0.006978007375585787,0.02269656271693142,True
16,12.0,maximum_posterior_weight,0.13004978729493244,0.1300497872949329,4.718447854656915e-16,0.0009875246324140593,0.003043038494960997,0.01,True
17,20.0,maximum_posterior_weight,0.032370624255885626,0.03237062425588563,6.938893903907228e-18,0.0002544584487782186,0.0006722191785823333,0.01,True
18,40.0,maximum_posterior_weight,0.0072861847813518454,0.007286184781351885,3.9898639947466563e-17,3.5849623553111016e-05,8.137861613602358e-05,0.01,True
19,80.0,maximum_posterior_weight,0.0028930543569799963,0.002893054356979995,1.3010426069826053e-18,8.141580004017085e-06,1.5756954873759984e-05,0.01,True
