cutoff,band,sigma_index,sigma,band_dimension,coverage_estimate,coverage_ci95_low,coverage_ci95_high,coverage_monte_carlo_se,posterior_weight_estimate,posterior_weight_ci95_low,posterior_weight_ci95_high,posterior_weight_monte_carlo_se,coverage_ge_q_c,posterior_ge_q_w,high_high_point_estimate,high_high_lower_bound
3,low,0,80.0,87,0.99975,0.999,1.0,0.00016366341767699443,0.002498736316768783,0.002466895601730641,0.0025321277670490466,1.1736338134037342e-05,True,False,False,False
3,low,1,57.58598472124816,87,0.99975,0.999,1.0,0.00016366341767699443,0.0034597915637359744,0.0033982498796169542,0.0035253296177729706,2.343183276538525e-05,True,False,False,False
3,low,2,40.78557379650796,87,0.99975,0.999,1.0,0.00016366341767699443,0.005426672665679278,0.005282914826081013,0.005575819579481465,5.346241603013343e-05,True,False,False,False
3,low,3,28.374584604156844,87,0.999875,0.99925,1.0,0.0001250000000000001,0.010045159588522841,0.009663200985973138,0.010433661122698536,0.0001488555755724773,True,False,False,False
3,low,4,19.35245298032523,87,0.99975,0.999,1.0,0.00016366341767699443,0.022670832447566198,0.02145669782032631,0.023937716023214255,0.0004898613100323242,True,False,False,False
3,low,5,12.91008238075732,87,0.99975,0.999,1.0,0.00016366341767699443,0.06240853033661357,0.058892688505316065,0.06617836486419458,0.001392129661236475,True,False,False,False
3,low,6,8.400935309099816,87,0.99975,0.999,1.0,0.00016366341767699443,0.1932418367917938,0.18422891603255656,0.20240242204834824,0.002317319852739368,True,False,False,False
3,low,7,5.315194521796382,87,0.998875,0.997559375,0.99975,0.0002950484221760414,0.5343633090729805,0.5178031506141465,0.5502585661625131,0.0041847228619665625,True,False,False,False
3,low,8,3.256821519765537,87,0.962875,0.954309375,0.97075,0.0017158660870159519,0.9115627996919115,0.9020670340335656,0.920628624579989,0.0019879490762841866,True,True,True,True
3,low,9,1.9233398370400518,87,0.455875,0.429928125,0.47769062500000004,0.004501735776342272,0.997722852671624,0.9962126333654696,0.9988966482226376,0.0005080465210613058,False,True,False,False
3,low,10,1.088170636545279,87,0.01375,0.00874375,0.01825,0.0008183170883849715,0.9999999404379616,0.9999997778323845,0.9999999995822578,3.413743043160239e-08,False,True,False,False
3,low,11,0.5853481231945422,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,12,0.29644228447915727,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,13,0.13951646873101678,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,14,0.05994731123547159,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,15,0.022934518372333384,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,16,0.0075280199627840785,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,low,17,0.002000000000000003,87,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,high,0,80.0,2985,0.9985,0.99725,0.999625,0.0002672612419124246,0.0017899175774243627,0.0017819271948386472,0.0017983346632181082,2.470655120414915e-06,True,False,False,False
3,high,1,57.58598472124816,2985,0.998625,0.99725,0.999625,0.0002630521404045758,0.0022215859799006184,0.0022078049834389065,0.002235794264207474,4.129470626803346e-06,True,False,False,False
3,high,2,40.78557379650796,2985,0.998625,0.99725,0.999625,0.0002630521404045758,0.0030205954254157916,0.0029936418864647146,0.003047925798001016,7.50338156960419e-06,True,False,False,False
3,high,3,28.374584604156844,2985,0.998625,0.99725,0.999625,0.0002630521404045758,0.004679832054448001,0.004618271947922069,0.00474165684667641,1.5896698748257228e-05,True,False,False,False
3,high,4,19.35245298032523,2985,0.999,0.99775,0.999875,0.0002672612419124246,0.008697729755997122,0.008532229090202402,0.008874345520881191,4.479008844780342e-05,True,False,False,False
3,high,5,12.91008238075732,2985,0.999125,0.997875,0.999940625,0.0002950484221760414,0.020441444702847433,0.01980991258133025,0.021122166044660825,0.00019982546167383053,True,False,False,False
3,high,6,8.400935309099816,2985,0.99925,0.998125,1.0,0.0002500000000000002,0.061923991610657786,0.05872227615923842,0.06566723707187179,0.0012802330028826169,True,False,False,False
3,high,7,5.315194521796382,2985,0.999375,0.998375,1.0,0.0002630521404045758,0.22259014676408895,0.2115536247519859,0.23454905296249198,0.0036996301497416186,True,False,False,False
3,high,8,3.256821519765537,2985,0.999125,0.997875,1.0,0.0002950484221760414,0.6387810880495456,0.6221421536516086,0.6574223008302821,0.0038669300180846095,True,False,False,False
3,high,9,1.9233398370400518,2985,0.99625,0.994184375,0.998125,0.0005900968443520828,0.956593036859051,0.9496251559423592,0.9634100039316082,0.0010242600229011627,True,True,True,True
3,high,10,1.088170636545279,2985,0.9065,0.893684375,0.9189406250000001,0.0032458765050005062,0.9989491801850554,0.9978927678274675,0.999775038656515,0.0003325558573134625,True,True,True,True
3,high,11,0.5853481231945422,2985,0.206625,0.1851125,0.227190625,0.0027706207401436726,0.9999999998644553,0.9999999992567002,1.0,1.2018193242141018e-10,False,True,False,False
3,high,12,0.29644228447915727,2985,0.001375,0.000125,0.00375,0.000375,1.0,1.0,1.0,0.0,False,True,False,False
3,high,13,0.13951646873101678,2985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,high,14,0.05994731123547159,2985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,high,15,0.022934518372333384,2985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,high,16,0.0075280199627840785,2985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
3,high,17,0.002000000000000003,2985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,0,80.0,147,0.999625,0.99875,1.0,0.00018298126367785012,0.0026081305016320234,0.002577273500908968,0.0026402310052060477,1.1016147282282649e-05,True,False,False,False
4,low,1,57.58598472124816,147,0.999625,0.99875,1.0,0.00018298126367785012,0.003662176397105872,0.003601329316974503,0.003725506431796987,2.1517915415503278e-05,True,False,False,False
4,low,2,40.78557379650796,147,0.99975,0.999,1.0,0.00016366341767699443,0.005850089954520435,0.005707331294177293,0.005990621424801987,4.997766885070265e-05,True,False,False,False
4,low,3,28.374584604156844,147,0.99975,0.999,1.0,0.00016366341767699443,0.011081624313459477,0.010656433550058122,0.011475242505070067,0.00014135551724650953,True,False,False,False
4,low,4,19.35245298032523,147,0.99975,0.999,1.0,0.00016366341767699443,0.025790198672536065,0.024458356579997946,0.027088964099004915,0.0004709931343915523,True,False,False,False
4,low,5,12.91008238075732,147,0.99975,0.999,1.0,0.00016366341767699443,0.07339528822439756,0.06951642512707588,0.07764115136454272,0.00132782541223023,True,False,False,False
4,low,6,8.400935309099816,147,0.99975,0.999,1.0,0.00016366341767699443,0.23024282791112352,0.22043187109925208,0.2405324601292897,0.0016424329870797186,True,False,False,False
4,low,7,5.315194521796382,147,0.99925,0.998125,1.0,0.0003133915852640046,0.6070580981826953,0.5898153834180357,0.6237959622511033,0.004564862760263859,True,False,False,False
4,low,8,3.256821519765537,147,0.964125,0.956171875,0.972190625,0.002310206391521888,0.9445674159901727,0.9363948628859943,0.9515264016641191,0.0024077879088245263,True,True,True,True
4,low,9,1.9233398370400518,147,0.4465,0.420059375,0.46806562500000004,0.003644957377763738,0.9995211236359312,0.9989612660706593,0.9998533437061684,0.000110135618818963,False,True,False,False
4,low,10,1.088170636545279,147,0.013875,0.008625,0.018375,0.0005153882032022074,0.9999999882321379,0.9999999295665262,0.99999999999992,1.1756191472575397e-08,False,True,False,False
4,low,11,0.5853481231945422,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,12,0.29644228447915727,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,13,0.13951646873101678,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,14,0.05994731123547159,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,15,0.022934518372333384,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,16,0.0075280199627840785,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,low,17,0.002000000000000003,147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,high,0,80.0,2925,0.998625,0.9973093749999999,0.999625,0.0002630521404045758,0.0016576385562998683,0.0016510758059511872,0.001664617857782081,2.553902993956514e-06,True,False,False,False
4,high,1,57.58598472124816,2925,0.998625,0.9973093749999999,0.999625,0.0002630521404045758,0.00200230284111942,0.001991180300383271,0.002014112964952064,4.3908750904095555e-06,True,False,False,False
4,high,2,40.78557379650796,2925,0.998625,0.9973093749999999,0.999625,0.0002630521404045758,0.002622788255141738,0.0026021172189432075,0.002644877892376271,8.329539911074764e-06,True,False,False,False
4,high,3,28.374584604156844,2925,0.998625,0.9973093749999999,0.999625,0.0002630521404045758,0.003864518498419905,0.0038195121665791855,0.003910923524230145,1.8273680882499995e-05,True,False,False,False
4,high,4,19.35245298032523,2925,0.998625,0.9973093749999999,0.999625,0.0002630521404045758,0.006732474639209751,0.006618608692159371,0.006855606633253155,4.89363509023601e-05,True,False,False,False
4,high,5,12.91008238075732,2925,0.998875,0.9975,0.99975,0.0002950484221760414,0.01469694063637073,0.01430134081417059,0.015126131202250027,0.00016705097699270066,True,False,False,False
4,high,6,8.400935309099816,2925,0.999125,0.997875,0.999875,0.0002950484221760414,0.041797950619010704,0.039920049550480154,0.04374161251557891,0.0007683396020291497,True,False,False,False
4,high,7,5.315194521796382,2925,0.999375,0.99825,1.0,0.0003238992347717334,0.15110760257801845,0.14363592376548917,0.1596817515636151,0.002483713679554354,True,False,False,False
4,high,8,3.256821519765537,2925,0.999625,0.99861875,1.0,0.0002630521404045758,0.49480538832130605,0.47889396161178044,0.5102113058868293,0.0021961806648135695,True,False,False,False
4,high,9,1.9233398370400518,2925,0.9975,0.99575,0.998940625,0.00032732683535398885,0.9048205297175225,0.8938334051896833,0.9141405495895808,0.0005225569824688269,True,True,True,True
4,high,10,1.088170636545279,2925,0.96225,0.955309375,0.969190625,0.0013855117672336315,0.9978028366191088,0.9961731362321175,0.9990483464504125,0.0005733865686906023,True,True,True,True
4,high,11,0.5853481231945422,2925,0.36275,0.33620625,0.383625,0.00215265616655995,0.9999999906077143,0.9999999575919447,0.9999999999998683,7.100209708535013e-09,False,True,False,False
4,high,12,0.29644228447915727,2925,0.00775,0.004125,0.012065624999999998,0.0007258000511750561,1.0,1.0,1.0,0.0,False,True,False,False
4,high,13,0.13951646873101678,2925,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,high,14,0.05994731123547159,2925,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,high,15,0.022934518372333384,2925,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,high,16,0.0075280199627840785,2925,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
4,high,17,0.002000000000000003,2925,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,0,80.0,243,0.999875,0.99925,1.0,0.0001250000000000001,0.002694610989245623,0.0026615100362422576,0.0027299334222940074,1.23152710306686e-05,True,False,False,False
5,low,1,57.58598472124816,243,0.999875,0.99925,1.0,0.0001250000000000001,0.003825308693614556,0.0037611300594671206,0.0038932378664939347,2.3879557095004604e-05,True,False,False,False
5,low,2,40.78557379650796,243,0.999875,0.99925,1.0,0.0001250000000000001,0.006196884377577484,0.006049117973375457,0.006354333685368222,5.292076691196834e-05,True,False,False,False
5,low,3,28.374584604156844,243,0.999875,0.99925,1.0,0.0001250000000000001,0.011944356118629507,0.011537912559879024,0.012386128637930496,0.00014424752437296277,True,False,False,False
5,low,4,19.35245298032523,243,0.999875,0.99925,1.0,0.0001250000000000001,0.02834139009380221,0.026963744305331067,0.02974467839801092,0.00044984870822492796,True,False,False,False
5,low,5,12.91008238075732,243,0.999875,0.99925,1.0,0.0001250000000000001,0.08147533527082229,0.07734722984853055,0.08572778580928082,0.0013131761958171523,True,False,False,False
5,low,6,8.400935309099816,243,0.999875,0.99925,1.0,0.0001250000000000001,0.2556534340711586,0.2448825189374839,0.26723697891783194,0.0024634185415127155,True,False,False,False
5,low,7,5.315194521796382,243,0.999125,0.997559375,1.0,0.0003503824441133678,0.6538298703864496,0.638080689967263,0.6688139074666316,0.0024252231462866046,True,False,False,False
5,low,8,3.256821519765537,243,0.970625,0.96375,0.9764406250000001,0.0011640063205523054,0.9604657934350517,0.9544212587671188,0.9663272222280697,0.0015039786418359785,True,True,True,True
5,low,9,1.9233398370400518,243,0.49025,0.4654875,0.512071875,0.0029016620852785166,0.9996871282141647,0.9992807930280078,0.9999190382515014,0.0001089107315997904,False,True,False,False
5,low,10,1.088170636545279,243,0.018375,0.012368750000000001,0.024690624999999997,0.0008003905296791061,0.9999999999606717,0.9999999997650334,0.9999999999999988,3.919515258039727e-11,False,True,False,False
5,low,11,0.5853481231945422,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,12,0.29644228447915727,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
5,low,13,0.13951646873101678,243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False
