experiment_id,run_id,comparison,base_model,donor_model,swap_condition,baseline_condition,window_name,control_type,n_pairs,baseline_rate,swap_rate,rate_difference,paired_mean_delta,paired_ci95_low,paired_ci95_high,discordant_negative,discordant_positive,discordant_zero,sign_test_p_value,passes_practical_threshold,status
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__low_transition_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__low_transition,edm_1k_no_swap,low_transition,primary_transition,256,0.96484375,0.00390625,-0.9609375,-0.9609375,-0.98046875,-0.9375,246,0,10,1.7686873200833423e-74,1,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__high_transition_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__high_transition,edm_1k_no_swap,high_transition,primary_transition,256,0.96484375,0.56640625,-0.3984375,-0.3984375,-0.45703125,-0.33984375,102,0,154,3.944304526105059e-31,0,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__combined_transition_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__combined_transition,edm_1k_no_swap,combined_transition,secondary,256,0.96484375,0,-0.96484375,-0.96484375,-0.984375,-0.94140625,247,0,9,8.8434366004167113e-75,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__paper_medium_reference_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__paper_medium_reference,edm_1k_no_swap,paper_medium_reference,secondary,256,0.96484375,0,-0.96484375,-0.96484375,-0.984375,-0.94140625,247,0,9,8.8434366004167113e-75,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__low_pre_control_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__low_pre_control,edm_1k_no_swap,low_pre_control,matched_control,256,0.96484375,0.9453125,-0.01953125,-0.01953125,-0.04296875,0.00390625,7,2,247,0.1796875,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__low_post_control_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__low_post_control,edm_1k_no_swap,low_post_control,matched_control,256,0.96484375,0.34765625,-0.6171875,-0.6171875,-0.67578125,-0.55859375,158,0,98,5.4738221262688167e-48,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__high_pre_control_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__high_pre_control,edm_1k_no_swap,high_pre_control,matched_control,256,0.96484375,0.18359375,-0.78125,-0.78125,-0.83203125,-0.73046875,200,0,56,1.2446030555722283e-60,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_1k_base__edm_50k_donor__high_post_control_vs_edm_1k_no_swap,edm_1k,edm_50k,edm_1k_base__edm_50k_donor__high_post_control,edm_1k_no_swap,high_post_control,matched_control,256,0.96484375,0.95703125,-0.0078125,-0.0078125,-0.01953125,0,2,0,254,0.5,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_50k_base__edm_1k_donor__low_transition_vs_edm_50k_no_swap,edm_50k,edm_1k,edm_50k_base__edm_1k_donor__low_transition,edm_50k_no_swap,low_transition,primary_transition,256,0,0.79296875,0.79296875,0.79296875,0.7421875,0.83984375,0,203,53,1.5557538194652854e-61,1,ok
experiment_06,e006_transition_window_swaps,edm_50k_base__edm_1k_donor__high_transition_vs_edm_50k_no_swap,edm_50k,edm_1k,edm_50k_base__edm_1k_donor__high_transition,edm_50k_no_swap,high_transition,primary_transition,256,0,0.046875,0.046875,0.046875,0.0234375,0.07421875,0,12,244,0.00048828125,0,ok
experiment_06,e006_transition_window_swaps,edm_50k_base__edm_1k_donor__combined_transition_vs_edm_50k_no_swap,edm_50k,edm_1k,edm_50k_base__edm_1k_donor__combined_transition,edm_50k_no_swap,combined_transition,secondary,256,0,0.96875,0.96875,0.96875,0.9453125,0.98828125,0,248,8,4.4217183002083556e-75,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_50k_base__edm_1k_donor__paper_medium_reference_vs_edm_50k_no_swap,edm_50k,edm_1k,edm_50k_base__edm_1k_donor__paper_medium_reference,edm_50k_no_swap,paper_medium_reference,secondary,256,0,0.9375,0.9375,0.9375,0.90625,0.96484375,0,240,16,1.131959884853339e-72,not_applicable,ok
experiment_06,e006_transition_window_swaps,edm_50k_base__edm_1k_donor__low_pre_control_vs_edm_50k_no_swap,edm_50k,edm_1k,edm_50k_base__edm_1k_donor__low_pre_control,edm_50k_no_swap,low_pre_control,matched_control,256,0,0,0,0,0,0,0,0,256,1,not_applicable,ok
