model_role,checkpoint_path,checkpoint_filename,checkpoint_sha256,training_kimg,file_size,modification_time,architecture_identity,training_subset_size,training_configuration_source,training_configuration_sha256,ema_status,label_conditioning_status,loadability_status,inventory_status,rejection_reason
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-000000.pkl,network-snapshot-000000.pkl,841fa73da1d4a2e701afe9e50583dae3932d43b0372bebb134f079b70e8f9de9,0,223159920,2026-04-16T17:38:59.014858+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,223159918,2026-04-16T19:57:36.507042+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-004000.pkl,network-snapshot-004000.pkl,ec341bbc9cf1e60f0bb768e03eb2812ca75a4407c430571813b98618a9a2bc02,4000,223159918,2026-04-16T22:16:25.545607+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-006000.pkl,network-snapshot-006000.pkl,89bead0217ff5f41f79a7ccd7607a4d97152b82fee36febce35eafc0745ad807,6000,223159918,2026-04-17T00:35:17.702290+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-008000.pkl,network-snapshot-008000.pkl,fc4c9972915e4609e67804aa693569980c8884bc5f754e049d3b72346cbccbae,8000,223159918,2026-04-17T02:54:29.047842+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-010000.pkl,network-snapshot-010000.pkl,20a28ef6f66087f8fcec676dca2d86ff81e859e17ae7507adeb9d49a24d31c0e,10000,223159918,2026-04-17T05:14:03.386513+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-012000.pkl,network-snapshot-012000.pkl,e5a7debafcd19191d6557f645216bfcb2e7589922396fd08130e76e3f5388b0a,12000,223159918,2026-04-17T07:32:34.011598+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-014000.pkl,network-snapshot-014000.pkl,7b874de1f56609bc5d1f15230e6462ed837688586eb845bc7e49900af6c4922b,14000,223159918,2026-04-17T09:51:01.824433+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-016000.pkl,network-snapshot-016000.pkl,7b87ab35a9f3e066eaf1dfbaa5b1b0ac6ab47b48f8eb5879076a53973eb7b6d9,16000,223159918,2026-04-17T12:09:07.512222+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-018000.pkl,network-snapshot-018000.pkl,0a4a34b0529e974b2c4b3dd8028950d37adfe8f3475b27670aabba9cf555f98c,18000,223159918,2026-04-17T14:27:21.647009+00:00,"{""class"": ""_imported_module_18e0ae85f1604edc8012c592545564bd.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/config_used.yaml,a2cd6b4f424f7c043aa64dd84b0a243c56e1e8df9766acfd67d9d9652214c2dd,present,unconditional,pass,accepted,
