model_role,checkpoint_path,checkpoint_sha256,training_kimg,n_samples,memorized_count,memorization_rate,ci95_low,ci95_high,eligible,eligibility_reason,n_failures,status
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-000000.pkl,841fa73da1d4a2e701afe9e50583dae3932d43b0372bebb134f079b70e8f9de9,0,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,128,17,0.1328125,0.0793109539228018,0.2041108024359642,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-004000.pkl,ec341bbc9cf1e60f0bb768e03eb2812ca75a4407c430571813b98618a9a2bc02,4000,128,48,0.375,0.29103499015045,0.46488914897346556,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-006000.pkl,89bead0217ff5f41f79a7ccd7607a4d97152b82fee36febce35eafc0745ad807,6000,128,77,0.6015625,0.5113039803893997,0.6870105660206456,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-008000.pkl,fc4c9972915e4609e67804aa693569980c8884bc5f754e049d3b72346cbccbae,8000,128,101,0.7890625,0.7081362634214468,0.8561516483768006,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-010000.pkl,20a28ef6f66087f8fcec676dca2d86ff81e859e17ae7507adeb9d49a24d31c0e,10000,128,109,0.8515625,0.7779401391615011,0.9082018262376119,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-012000.pkl,e5a7debafcd19191d6557f645216bfcb2e7589922396fd08130e76e3f5388b0a,12000,128,113,0.8828125,0.8140910983080725,0.9329059181181221,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-014000.pkl,7b874de1f56609bc5d1f15230e6462ed837688586eb845bc7e49900af6c4922b,14000,128,120,0.9375,0.8805632166061459,0.9726333151136293,False,count_outside_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-016000.pkl,7b87ab35a9f3e066eaf1dfbaa5b1b0ac6ab47b48f8eb5879076a53973eb7b6d9,16000,128,121,0.9453125,0.8905679484317433,0.9777328541900765,False,count_outside_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-018000.pkl,0a4a34b0529e974b2c4b3dd8028950d37adfe8f3475b27670aabba9cf555f98c,18000,128,118,0.921875,0.8610175408226004,0.9619006105596335,False,count_outside_13_through_115,0,complete
