model_role,checkpoint_path,checkpoint_filename,checkpoint_sha256,training_kimg,file_size,modification_time,architecture_identity,training_subset_size,training_configuration_source,training_configuration_sha256,ema_status,label_conditioning_status,loadability_status,inventory_status,rejection_reason
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,223159941,2026-08-04T03:00:00.627723+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-001000.pkl,network-snapshot-001000.pkl,8c3da9bc3fe1a2a9b22c2d867cab18c499520fba5930c77cea33519d842c1e8a,1000,223159939,2026-08-04T04:08:39.674804+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-002000.pkl,network-snapshot-002000.pkl,d5fb8d4fe93d3d6c0fcea1d1639c7c204c42514be30a911c91f87782ed316a3d,2000,223159939,2026-08-04T05:17:39.406905+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-003000.pkl,network-snapshot-003000.pkl,be1d344337c8a046d4554173c1f53dcad036d325e9a01cf0388c75f70c134364,3000,223159939,2026-08-04T06:26:39.413986+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-004000.pkl,network-snapshot-004000.pkl,d846ace552b914fc74f8baa4248a499071d034f366e50e3ddf803d43a12b5bcf,4000,223159939,2026-08-04T07:35:17.479965+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-005000.pkl,network-snapshot-005000.pkl,a09e327696f010d9d2a014888a4d954283f770d5e0cb6e5c957c48f7652a8064,5000,223159939,2026-08-04T08:44:15.604886+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-006000.pkl,network-snapshot-006000.pkl,a969d4ea57491c3d37940a2b2b628cb397d1134a46594f6cc63c876a35791f92,6000,223159939,2026-08-04T09:53:02.755342+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-007000.pkl,network-snapshot-007000.pkl,3174f69f1b2f8c760e45aa0765a3ba8b20ba7ac85f8733aca50530fcdb1a4279,7000,223159939,2026-08-04T11:01:50.625570+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-008000.pkl,network-snapshot-008000.pkl,7e3439f0610343954f51291c79a39bca207bf82a084f29c7e041c38f9998615f,8000,223159939,2026-08-04T12:10:44.989768+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-009000.pkl,network-snapshot-009000.pkl,a85b7c3855c76f181a7075f2538a17e17d542c623a970d1c7a9a0a90368cb0f8,9000,223159939,2026-08-04T13:19:45.486212+00:00,"{""class"": ""_imported_module_d2622850f36c4fa48b9dc96a22974aa4.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",10000,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/config_used.yaml,f35a010e1b8c7a0168e47e022db25e36a302db43dea60aeaf19bc132cd156ac6,present,unconditional,pass,accepted,
