model_role,checkpoint_path,checkpoint_sha256,training_kimg,sample_seed,generated_sample_hash,d1nn,d2nn,d1nn_reference_index,d2nn_reference_index,d1nn_over_d2nn,memorized,status,error
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20000,7524e416afeaa070108d48e1efa1e6a19dbe807dedec5467420551dd9de9a645,25.188806631880475,25.369371940381267,29779,22857,0.99288254715469004,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20001,dacd99151e9613d993d66c505e3d54da99b3f1af95a7560d36353cfdaf3f9f2b,25.469316286910725,25.565450609950958,29779,22857,0.99623967813018666,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20002,5ef6b8db5a882dd35087e811b119866b13cff042706dc58400ef387985fc0d0b,25.821191663337874,26.035048611528484,29779,22857,0.9917858056890313,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20003,1cebba40870affb6578a097f91df88451f137ca0bb3d136663bc3cf71139be7b,25.412500744443609,25.470259114438964,29779,22857,0.9977323210676482,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20004,3542ccff3819957360f01cdbc9c3b1da4efac69a6c83cb4b5c00b54e78535503,25.615522490525937,25.988456388589736,29779,22857,0.98565001735818614,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20005,44393067fb09f7efcadb9d8bc3fdcbb3743e8b0df41b3c452aad12cf0d893238,26.296319084964527,26.334725978453431,29779,22857,0.99854158750235988,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20006,9d5a941020d1de83cd7cb02f1a63f8e4fa222741f8fdcec2d4268cf2b43bd9e5,25.593504218697692,25.902058113804653,29779,22857,0.98808766879638354,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20007,0c12539f84eaef98271ba786e565675f3e0c866e1ecbb57c44b92930c23d7818,25.508221780087908,25.829024308901211,29779,22857,0.98757976588752727,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20008,7539ac06deaac5a3423d2c70fea5855ed08fcc7f40004752c2aa34ca9defaf02,25.531877282480966,25.972945643925698,29779,22857,0.98301816176372414,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20009,c9b034912a7d0128496baec005789c68c8b48f5a7d4d88448ff42679a564004a,25.498455119331183,25.623522233870911,22857,29779,0.99511905063643413,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20010,885c094cbe75dbe1fbe83d2338a0c6b53ad28ed6694f7c8e27e7f75d4a96ce62,25.792556082550917,26.157834595157741,29779,22857,0.98603559819609676,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20011,21e8d86ef31aa29c85f24541bf1d1b366e4b2967f69ba4397ebc058f8a78f276,25.917875458023381,25.962841443398649,29779,22857,0.99826806378364641,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20012,7fd8da61ca156fe8e24a49f747a18f2d2584dcb7f9486b2c546851949a6e5bef,25.850809838849635,25.960469940930544,29779,22857,0.99577588147169815,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20013,57125fd4d6bea691afd5ba55a92ef2cab08c48f8364bc32a6d50907ad728dea3,25.899984650878938,25.916540135702171,22857,29779,0.99936120003918172,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20014,7d356d2ff9413eb832ac9d31fe5d5cef63fafc6ce5f5e187d6ac2010dab6b8b3,25.705202607693703,25.758399012028523,22857,29779,0.99793479383909001,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20015,d80368e96ed5f12c5d9b0c079f6ee12d820fef308a35f8389377eb6e13fd83a9,25.847037034427142,26.356753192305881,29779,22857,0.98066088967181531,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20016,3014e47d468656e2a4100b862552d94d99a11e3ed5c03650b830d6ddb096a76d,26.322222910275698,26.552642339023794,29779,22857,0.99132216576391519,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20017,9f33c2e36deccf2468ba61783c3c3bd7b5575a81cae03ebfa0b2a082a5463858,25.821508437550886,26.058419584119591,29779,12699,0.99090846066838678,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20018,641cb728724d7bb2961a28e52be787e23330f02e6fc7d22fbfc2824db173b572,25.708233082575529,26.044099087129862,29779,22857,0.98710394997996664,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20019,4305ffbbd692fa45809a33180509e3cd1c73617765bfba199949a16306bbc120,25.096928639256866,25.171444267349255,29779,22857,0.99703967609879873,0,ok,
edm_10k,/mnt/pixstor/data/xggh8/zw-lab/e009_edm10k_12000kimg/network-snapshot-000000.pkl,acd34856648d000c30819f759a869972d9628c078d256ca10688718128c2bf3e,0,20020,1c622efc373a1805f0b9866209d6da8334ad2d76e3dcdf8922e609450aa3dbaf,25.113698595343287,25.776021415811275,29779,12699,0.97430469156649158,0,ok,
