model_role,checkpoint_path,checkpoint_filename,checkpoint_sha256,training_kimg,file_size,modification_time,architecture_identity,training_subset_size,training_configuration_source,training_configuration_sha256,ema_status,label_conditioning_status,loadability_status,inventory_status,rejection_reason
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,223159918,2026-04-16T19:57:36.507042+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-004000.pkl,network-snapshot-004000.pkl,ec341bbc9cf1e60f0bb768e03eb2812ca75a4407c430571813b98618a9a2bc02,4000,223159918,2026-04-16T22:16:25.545607+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-006000.pkl,network-snapshot-006000.pkl,89bead0217ff5f41f79a7ccd7607a4d97152b82fee36febce35eafc0745ad807,6000,223159918,2026-04-17T00:35:17.702290+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-008000.pkl,network-snapshot-008000.pkl,fc4c9972915e4609e67804aa693569980c8884bc5f754e049d3b72346cbccbae,8000,223159918,2026-04-17T02:54:29.047842+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-010000.pkl,network-snapshot-010000.pkl,20a28ef6f66087f8fcec676dca2d86ff81e859e17ae7507adeb9d49a24d31c0e,10000,223159918,2026-04-17T05:14:03.386513+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-012000.pkl,network-snapshot-012000.pkl,e5a7debafcd19191d6557f645216bfcb2e7589922396fd08130e76e3f5388b0a,12000,223159918,2026-04-17T07:32:34.011598+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",1000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-013000.pkl,network-snapshot-013000.pkl,6d181c0102e93cfe1c43005675e7c76e01fae18afd402337a35ebc8b2128371c,13000,223159938,2026-08-05T07:30:50.236743+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-014000.pkl,network-snapshot-014000.pkl,7a6c9f8916232554e62e7791caa513201610d38366c0d73e2e4e84f850eeca33,14000,223159938,2026-08-05T09:45:31.811171+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-015000.pkl,network-snapshot-015000.pkl,d7e4482459106c2fe4d46103847225cd63b9c749206a2a7f1ee803a9ac85b858,15000,223159938,2026-08-05T10:58:47.270880+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-016000.pkl,network-snapshot-016000.pkl,5942ebb047a02967a91c491008b5ec9fc079f89445b8d8b248cebda437c3e0d5,16000,223159938,2026-08-05T12:12:06.437351+00:00,"{""class"": ""_imported_module_c2f3e5eecc134bd6a1b72a173bd0f8df.persistent_class.<locals>.Decorator"", ""img_channels"": 3, ""img_resolution"": 32, ""label_dim"": 0, ""sigma_max"": Infinity, ""sigma_min"": 0.0}",5000,,,present,unconditional,pass,accepted,
