model_role,checkpoint_path,checkpoint_sha256,training_kimg,n_samples,memorized_count,memorization_rate,ci95_low,ci95_high,eligible,eligibility_reason,n_failures,status
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-002000.pkl,3ed209dd1b79e56a4e95d81d21400bdbc2c73e95c7a9d76d49aba0c859ff2258,2000,128,9,0.0703125,0.032653627319219225,0.1292793879545287,False,count_outside_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-004000.pkl,ec341bbc9cf1e60f0bb768e03eb2812ca75a4407c430571813b98618a9a2bc02,4000,128,49,0.3828125,0.2983305472479322,0.47284712439660626,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-006000.pkl,89bead0217ff5f41f79a7ccd7607a4d97152b82fee36febce35eafc0745ad807,6000,128,80,0.625,0.5351108510265343,0.7089650098495499,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-008000.pkl,fc4c9972915e4609e67804aa693569980c8884bc5f754e049d3b72346cbccbae,8000,128,90,0.703125,0.6159940200893324,0.7805982043627187,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-010000.pkl,20a28ef6f66087f8fcec676dca2d86ff81e859e17ae7507adeb9d49a24d31c0e,10000,128,99,0.7734375,0.691093452263126,0.8427132647105053,True,count_in_13_through_115,0,complete
edm_1k,/mnt/pixstor/data/xggh8/zw-lab/exp_004_standard_edm_n1000_40000kimg_20260415/network-snapshot-012000.pkl,e5a7debafcd19191d6557f645216bfcb2e7589922396fd08130e76e3f5388b0a,12000,128,105,0.8203125,0.7426814627886671,0.882550611227179,True,count_in_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-013000.pkl,6d181c0102e93cfe1c43005675e7c76e01fae18afd402337a35ebc8b2128371c,13000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-014000.pkl,7a6c9f8916232554e62e7791caa513201610d38366c0d73e2e4e84f850eeca33,14000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-015000.pkl,d7e4482459106c2fe4d46103847225cd63b9c749206a2a7f1ee803a9ac85b858,15000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-016000.pkl,5942ebb047a02967a91c491008b5ec9fc079f89445b8d8b248cebda437c3e0d5,16000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-017000.pkl,4f131812d9ef6ab06b0364930cb5fda95629364e1332cd142c8e840083581e70,17000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-018000.pkl,66ef3e1dbb797aceb11fe61053b73c63e12d691682a830ba4f0f61ea8db4288f,18000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-019000.pkl,147be4a88b57ae4eddfde578630ddf6e3c6ec89e8a3132cd9af0a9c34675989b,19000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-020000.pkl,9f9baed1a1ec0f87058f9b37bf5fe33799c1c04cea5b015c267be356a4a4d6db,20000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-021000.pkl,6f0b3dd9d724f492b5209caf61910bcdc3d43b3e55048e0a17daaa0896f2552e,21000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-022000.pkl,02bbb0eb6567537be434155f49e05c5c7c6f7e1bf8d9c297261201430cf791c5,22000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-023000.pkl,1008a661c6596a64186685e0992bc21f584a7b422a8256cf86a7150a0bec74fe,23000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-024000.pkl,388fb9959592642df120dadf9836c3fdaf1df6841e3a03f4833ef9d89b701d43,24000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-025000.pkl,cd3da048eb4793f9b7661bbba690d954854f6e636634512ad92db31c7e2a7740,25000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-026000.pkl,25699320513f972dcbbc3ddd4ed6558ba67690f9dbe741e774f0ee0410387de9,26000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-027000.pkl,557055b1d3501771560d5164b937466df74dbc958177832ba1fb698a85d97b5f,27000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-028000.pkl,38ba5ecb803f6b7f6286397e014c7a6a110690be40bc3c9c215e62534a8cf7b9,28000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-029000.pkl,c6b73732d9410dc283bf2b5f2ddbf5c2b0283fd3294a7c732a2799cbe2b376e4,29000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
edm_5k,/mnt/pixstor/data/xggh8/zw-lab/e009_stage_b_edm5k_30000kimg/network-snapshot-030000.pkl,66406526e9024c7280b903cdb1731ae35ed252da87aa1b9932cc9a2d43d446e2,30000,128,0,0.0,0.0,0.028408053443543857,False,count_outside_13_through_115,0,complete
